Accounts,Iterations,Threads,TimeMilliseconds
250,1000000,2,5
250,1000000,4,15
250,1000000,8,31
250,1000000,16,59
250,1000000,1,29
250,10000000,2,5
250,10000000,4,15
250,10000000,8,31
250,10000000,16,61
250,10000000,1,29
1000,1000000,2,5
1000,1000000,4,15
1000,1000000,8,31
1000,1000000,16,64
1000,1000000,1,29
1000,10000000,2,5
1000,10000000,4,15
1000,10000000,8,28
1000,10000000,16,64
1000,10000000,1,29
10000,1000000,2,5
10000,1000000,4,15
10000,1000000,8,32
10000,1000000,16,61
10000,1000000,1,29
10000,10000000,2,5
10000,10000000,4,15
10000,10000000,8,29
10000,10000000,16,60
10000,10000000,1,29